feature,loading
伽,0.15319383889602542
由,0.1324146774629135
善,0.12466449854259688
殑,0.12257841484614466
緣,0.12193661876526633
因,0.12193661876526633
假,0.12006930837761624
使,0.12006930837761624
逝,0.11756844303625068
開,0.1125990700710942
耨,-0.09254074312314736
藐,-0.09254074312314736
即,-0.09564339026449549
人,-0.09758061193322586
修,-0.09821315719140986
萬,-0.10469939277019769
眾,-0.11746366376240155
須,-0.12307811040260515
提,-0.12787553511740346
菩,-0.14105359418556368
